fecha,Amazonas,Antioquia,Arauca,Atlántico,Bolívar,Boyacá,Caldas,Caquetá,Casanare,Cauca,Cesar,Chocó,Córdoba,Cundinamarca,Guainía,Guajira,Guaviare,Huila,Magdalena,Meta,Nariño,Norte de Santander,Putumayo,Qquindío,Risaralda,San Andrés,Santander,Sucre,Tolima,Valle del Cauca,Vaupés,Vichada,All
01-apr-2010,,2,,1,1,,1,,,3,,,1,1,,1,,,1,2,3,,,,,,,,1,2,,,20
01-aug-2010,,2,,4,1,1,,1,,3,,,,1,,,,2,,3,,,1,,1,,1,,1,12,,,34
01-dec-2010,,6,,2,,,,,,,1,,,3,,,,2,1,1,1,,,,2,1,1,1,,8,,,30
01-feb-2010,,4,,4,1,,,,1,1,2,,1,3,,,,3,,2,1,,1,,1,,,1,2,13,,,41
01-jan-2010,,6,,,1,,,,,,,,,1,,,,2,,6,,1,,,1,,,1,,9,,,28
01-jul-2010,,4,,5,,,,,,,1,,,7,,1,,1,,,1,2,,,1,2,,,,8,,,33
01-jun-2010,,5,,,1,,,,,,1,,,8,,,,1,,,1,,,,,,,,,10,,,27
01-mar-2010,,9,,4,1,2,,,,,2,,,4,,,,,2,,,2,,,1,,1,,,16,,,44
01-may-2010,,3,2,2,,1,,,1,4,,,,4,,1,,2,1,2,1,1,,2,,,1,1,2,7,,,38
01-nov-2010,,3,1,3,3,,,,,,2,,,,,1,,3,3,2,,2,,,1,,,2,1,8,,,35
01-oct-2010,,3,1,4,1,,,,,2,,,,3,,,,2,,4,4,,,2,1,,,1,2,11,,,41
01-sep-2010,,3,,2,2,,,,1,,1,,,4,,,,6,,2,3,1,,,,,,,,9,,,34
02-apr-2010,,,,3,,,,,,2,,,,,,1,,1,,1,3,,,,,,,,3,3,,,17
02-aug-2010,,2,,3,1,,,,,,2,,,6,,1,,2,,,2,1,,,,,,,,13,,,33
02-dec-2010,,4,2,3,1,,,,,,2,,,4,,2,,1,,4,,,,,,,,,,11,,,34
02-feb-2010,,1,,1,,,,,,1,2,,,4,,1,,3,,1,1,,,,,,4,,,9,,,28
02-jan-2010,,4,,2,1,,,,,3,,,,2,,,,,,1,,1,,,1,,,,2,11,,,28
02-jul-2010,,2,,5,1,,,,,,1,,,5,,2,,,,2,,1,,,,,,,,9,,,28
02-jun-2010,,10,,2,,,1,,,,,,1,8,,1,,2,,1,3,,,,,,,,,17,,,46
02-mar-2010,,5,,3,,,,,,2,2,,,5,,,,1,,2,1,,,1,1,,3,,,11,,,37
