FECHA,DEPARTAMENTO ,MUNICIPIO,DIA ,HORA,BARRIO,ZONA,CLASE SITIO,MARCA BIEN,LINEA,MODELO,COLOR,EDAD,GENERO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,ESTADO CIVIL,PROFESIONES,ESCOLARIDAD,CODIGO DANE,2010
01-jan-2010,ANTIOQUIA,BELLO,Viernes,6:00,SAN JOSE OBRERO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,AKT,AK 125,2007,NEGRO,25,MASCULINO,LLAVE MAESTRA,NO REPORTADO,NO REPORTADO,UNION LIBRE,NO REPORTADO,SECUNDARIA,"5,088,000",1
01-jan-2010,ANTIOQUIA,BELLO,Viernes,10:00,LA CABAÑITA,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,SUZUKI,AX 100,2008,NEGRO,27,FEMENINO,LLAVE MAESTRA,NO REPORTADO,NO REPORTADO,SOLTERO,NO REPORTADO,SECUNDARIA,"5,088,000",1
01-jan-2010,ANTIOQUIA,CAUCASIA,Viernes,14:40,EL CASTILLO,URBANA,VIAS PUBLICAS,AUTECO,BOXER,2006,ROJO,26,MASCULINO,NO REPORTADO,A PIE,A PIE,SOLTERO,NO REPORTADO,NO REPORTADO,"5,154,000",1
01-jan-2010,ANTIOQUIA,MEDELLÍN (CT),Viernes,9:30,AURES C-7,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,YAMAHA,80,1997,VIOLETA,24,MASCULINO,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,SECUNDARIA,"5,001,000",1
01-jan-2010,ANTIOQUIA,MEDELLÍN (CT),Viernes,15:30,ROBLEDO C-7,URBANA,VIAS PUBLICAS,YAMAHA,RX 100,2006,AZUL,34,MASCULINO,NO REPORTADO,NO REPORTADO,NO REPORTADO,SOLTERO,NO REPORTADO,SECUNDARIA,"5,001,000",1
01-jan-2010,ANTIOQUIA,MEDELLÍN (CT),Viernes,20:30,DOCE DE OCTUBRE C-6,URBANA,GARAJE,YAMAHA,RX 100,2004,NEGRO,44,MASCULINO,LLAVE MAESTRA,NO REPORTADO,NO REPORTADO,UNION LIBRE,NO REPORTADO,SECUNDARIA,"5,001,000",1
01-jan-2010,BOLÍVAR,CARTAGENA (CT),Viernes,7:00,LA ESPERANZA,URBANA,VIAS PUBLICAS,SUZUKI,AX 100,2004,AZUL,45,FEMENINO,ARMA BLANCA,A PIE,CONDUCTOR MOTOCICLETA,SOLTERO,NO REPORTADO,PRIMARIA,"13,001,000",1
01-jan-2010,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,3:00,CASTILLA LA NUEVA E-8,URBANA,DENTRO DE LA VIVIENDA,HONDA,BROSS,2006,AZUL,36,MASCULINO,LLAVE MAESTRA,A PIE,CONDUCTOR MOTOCICLETA,SOLTERO,NO REPORTADO,SECUNDARIA,"11,001,000",1
01-jan-2010,HUILA,GIGANTE,Viernes,19:00,VEREDA TRES ESQUINAS,RURAL,VIAS PUBLICAS,SUZUKI,FR 100,1998,GRIS,31,FEMENINO,LLAVE MAESTRA,A PIE,CONDUCTOR MOTOCICLETA,UNION LIBRE,NO REPORTADO,PRIMARIA,"41,306,000",1
01-jan-2010,HUILA,NEIVA (CT),Viernes,18:40,LOS PARQUES,URBANA,VIAS PUBLICAS,SUZUKI,BEST 125,2009,NEGRO,33,FEMENINO,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,CONDUCTOR MOTOCICLETA,CASADO,NO REPORTADO,SUPERIOR,"41,001,000",1
