Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;Guainía;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;Vaupés;VICHADA;Total general
01-apr-2011;;20;;6;;;;;;3;;;;3;;;;1;1;3;4;2;;1;2;;;2;1;18;;;67
01-aug-2011;;18;1;3;1;;1;1;;1;1;;1;10;;;;1;1;2;6;1;;;1;;;;2;5;;;57
01-dec-2011;;17;1;5;2;;;1;2;;1;;1;1;;;;4;1;2;2;1;;;1;;1;;1;7;;;51
01-feb-2011;;11;;1;1;;1;;;2;1;;;3;;;;3;;3;3;1;;;2;;2;;1;15;;;50
01-jan-2011;;10;;2;1;;;1;;3;;;;3;;;;1;;2;1;;;;2;;1;;;6;;;33
01-jul-2011;;19;;;;;;1;1;6;;;;6;;;;2;1;2;3;2;;;;;2;;1;11;;;57
01-jun-2011;;32;1;1;3;;;;;1;3;;;12;;2;;4;1;2;4;3;;1;;;;;2;9;;;81
01-mar-2011;;27;;5;1;;;2;;;;;;12;;;;1;2;3;4;1;;;3;;1;;;15;;;77
01-may-2011;;7;;2;3;;;1;;4;;;1;2;;;;1;1;5;1;4;3;;1;;;1;;11;;;48
01-nov-2011;;11;3;3;1;;;1;;1;1;;;6;;;;3;3;1;2;;;;;;;1;;10;;;47
01-oct-2011;;19;;5;1;;;;1;5;1;;;1;;;;3;;2;2;;;1;2;;1;2;1;11;;;58
01-sep-2011;;23;;5;2;;;;;1;3;1;1;3;;;;;1;3;4;;;;1;;1;1;2;9;;;61
02-apr-2011;;21;;1;5;;;;;4;1;;;3;;1;;4;4;2;7;;1;1;2;;1;;1;9;;;68
02-aug-2011;;18;;5;1;;;;;4;;;;10;;;;3;;1;5;;;;;;1;;1;8;;;57
02-dec-2011;;18;1;7;1;;1;;;1;3;;;12;;;;5;1;;1;1;;;;;;2;4;9;;;67
02-feb-2011;;21;;3;;;;1;;2;4;;;13;;;1;3;2;3;3;1;;;2;;1;;;12;;;72
02-jan-2011;;9;;;1;;;;;2;;;;2;;1;;2;;2;;1;1;;;;;2;;11;;;34
02-jul-2011;;24;;4;2;1;;;;5;3;;;2;;2;;3;2;6;5;2;;1;2;;;;1;11;;;76
02-jun-2011;;17;;2;;;;;1;;1;;;10;;;;2;1;3;2;;;1;;;2;1;;15;;;58
02-mar-2011;;14;;5;1;;;;;1;1;;1;8;;1;;3;1;;1;1;;;2;;;;1;13;;;54
02-may-2011;;18;;8;;;;1;;1;1;;;6;;;;8;;;5;;;;1;;;;2;14;;;65
02-nov-2011;;29;1;4;2;;;;;1;;;;10;;;;4;;1;5;2;;;;;1;;1;9;;;70
02-oct-2011;;19;;;1;;;;1;2;;;;2;;;;5;3;3;1;2;2;;;;2;1;1;4;;;49
02-sep-2011;;12;1;3;;;;;;3;1;;;9;;1;;2;;2;1;;;;1;;2;1;1;14;;;54
03-apr-2011;1;14;1;2;;;;1;;;2;;1;1;;1;;3;1;1;1;;;;;;2;2;1;5;;;40
03-aug-2011;;24;;2;;;1;;;1;;;1;5;;;;3;2;;3;;;;;;1;1;2;8;;;54
03-dec-2011;;17;;5;1;;;;;2;2;;;3;;;;3;1;4;2;3;1;;;;4;2;;4;;;54
03-feb-2011;;19;;11;;;;;;;2;;;5;;;;1;3;1;1;2;;;;;;1;3;20;;;69
03-jan-2011;;14;1;7;1;1;;2;;1;1;;;4;;1;;1;;1;;;;;;;1;2;;10;;;48
03-jul-2011;;10;;5;1;;1;;;1;;;;1;;;;3;;3;1;;1;;;;;1;;5;;;33
03-jun-2011;;29;;4;3;;;1;;;;;1;4;;;;2;;3;6;2;;;1;;3;;1;11;;;71
03-mar-2011;;21;1;5;;;;1;;1;3;;;8;;1;;3;1;1;;1;2;1;;;1;1;;11;;;63
03-may-2011;;18;;2;;;;2;;4;1;;;10;;;;5;1;1;5;1;;1;1;;1;1;;11;;;65
03-nov-2011;;15;;6;;;;1;;2;;;;8;;1;;1;;1;3;5;;;2;;;2;;8;;;55
