Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;Guainía;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;VAUPÉS;VICHADA;Total general
01-apr-2012;;12;;2;2;;;;;5;3;2;3;4;;1;;2;2;3;1;1;;;;;;;1;8;;;52
01-aug-2012;;27;;2;1;1;;;;4;2;1;;2;;;;6;;4;3;2;;1;1;;;1;2;12;;;72
01-dec-2012;;4;;5;3;;;;;4;;;;5;;1;;4;;2;2;2;;3;2;;1;;2;6;;;46
01-feb-2012;;40;;3;1;;1;;2;5;;;;4;;;;3;;1;3;1;;;;1;2;1;3;11;;;82
01-jan-2012;;9;;;2;;;;2;8;2;3;;;;;;2;4;1;3;1;1;1;1;1;2;;3;7;;;53
01-jul-2012;;11;;3;1;1;1;1;;6;2;;1;;;1;;6;1;4;2;;1;;1;;2;;5;11;;;61
01-jun-2012;;20;;5;1;;;;;4;1;;3;4;;1;;6;1;1;1;2;;1;2;;1;1;;10;;;65
01-mar-2012;;37;;6;2;3;;;1;4;;1;;7;;1;;4;1;1;4;3;;1;3;;3;1;6;13;;;102
01-may-2012;;16;;3;1;;;;1;3;;;;2;;;;4;1;1;2;1;;1;1;1;1;;1;10;;;50
01-nov-2012;1;13;1;4;3;1;;1;;2;1;;;1;;1;;4;1;1;1;;;;1;;;1;1;9;;;48
01-oct-2012;;19;;4;2;;;2;;1;1;;1;10;;2;;3;1;2;5;2;;2;2;;2;1;2;12;;;76
01-sep-2012;;17;;3;3;;1;;;1;2;4;;;;3;;3;2;;2;1;2;;2;;1;;4;12;;;63
02-apr-2012;;20;;3;2;;;;;5;2;;;6;;;;3;;2;1;;;;;;6;;2;5;;1;58
02-aug-2012;;29;;3;;;2;1;;4;;;;6;;1;;3;;3;5;1;2;;;;4;1;1;13;;;79
02-dec-2012;;5;4;1;1;;;1;;2;4;;;7;;4;;1;1;1;1;3;;;;1;1;3;2;8;;;51
02-feb-2012;;33;;3;2;;1;1;;;1;5;1;10;;;;6;;;6;3;;1;1;;3;;1;10;;;88
02-jan-2012;;11;;;4;;;1;;8;1;1;;4;;;;6;1;3;2;4;;;1;1;;;1;6;;;55
02-jul-2012;;10;;2;1;;1;;;4;;;;1;;1;;7;1;1;3;1;;;1;2;;1;3;7;;;47
02-jun-2012;;10;;3;;;;;5;5;4;3;;4;;1;;4;1;;2;3;;1;1;;2;2;6;11;;;68
02-mar-2012;;33;;2;1;;;;;2;2;;;6;;;;2;;1;3;1;;;1;;;;2;16;;;72
02-may-2012;;14;3;5;2;;1;;;9;3;1;2;7;;1;;1;2;3;2;4;;;;1;3;1;3;10;;;78
02-nov-2012;;14;1;4;1;;1;;;2;;;1;3;;;;;;;1;2;1;;;;3;;1;8;;;43
02-oct-2012;;14;;2;1;;;;;4;2;1;1;6;;2;;2;1;3;;2;1;1;3;;3;;2;13;;;64
02-sep-2012;;5;1;4;1;;;;;8;;;;1;;1;;4;3;4;4;;1;;2;;1;2;3;15;;1;61
03-apr-2012;;29;;2;1;;;1;;2;1;2;1;2;;;;6;;;3;;1;;;;1;1;1;10;;;64
03-aug-2012;;22;;4;;;;;1;1;1;;1;6;;;;3;;3;1;1;;;;;;1;;12;;;57
03-dec-2012;;10;;3;2;;;;;2;2;;;8;;3;;5;;1;3;1;;;1;;3;1;2;7;;;54
03-feb-2012;;30;;2;2;;1;;1;3;1;1;;8;;2;;1;2;1;2;2;;;3;;2;1;4;17;;;86
