Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;GUAINÍA;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;Vaupoés;VICHADA;Total general
01-apr-2014;;18;;6;1;;2;1;;2;2;;8;17;;1;;1;2;4;1;3;2;;;;3;3;;10;;;87
01-aug-2014;;16;1;;3;1;;;2;13;3;1;2;11;;1;;4;;2;2;1;;;;;3;;3;11;;;80
01-dec-2014;;17;1;;3;;;;1;12;2;6;3;13;;3;;3;;2;3;2;;;;;3;1;1;11;;;87
01-feb-2014;;8;1;2;1;1;;;1;2;2;;1;8;;5;;3;;3;3;5;;;;;;1;;11;;;58
01-jan-2014;;11;;6;1;1;;;2;4;4;2;3;4;;;1;3;1;1;;1;1;;;1;2;2;2;7;;;60
01-jul-2014;;18;1;3;1;1;1;2;1;3;1;2;4;10;;;;;1;4;4;1;1;;;;1;9;;9;;;78
01-jun-2014;;5;;2;1;;;3;2;1;3;;3;2;;1;;2;;2;5;3;;;;1;;1;3;7;;;47
01-mar-2014;;18;1;;2;;;1;1;5;5;;4;6;;2;;2;1;6;5;;2;1;;;;1;2;14;;;79
01-may-2014;;8;;2;;1;;;;4;8;1;1;5;;;;;1;2;3;;;;1;;1;1;1;4;;;44
01-nov-2014;;12;1;5;1;;;;2;7;3;1;2;7;;4;;1;;6;5;4;1;;;;3;3;;10;;;78
01-oct-2014;;21;;1;;;;;;4;4;;3;9;;3;;;;2;2;5;;;1;;1;2;1;13;;;72
01-sep-2014;;21;;1;;;;;1;10;5;;3;8;;2;;3;1;3;3;2;;;;;1;5;1;13;;1;84
02-apr-2014;;20;;3;1;;1;;1;1;1;;1;14;;1;;5;2;2;1;1;2;;3;;;;1;9;;;70
02-aug-2014;;10;2;4;1;;;;1;4;1;1;1;5;;;;3;;4;3;2;1;;1;;1;;1;15;;;61
