Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;GUAINÍA;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;VAUPÉS;VICHADA;Total general
apr-01-2016;;20;2;4;1;1;1;1;3;3;6;;1;11;;2;1;2;1;2;;2;;3;1;;7;1;;17;;;93
apr-02-2016;1;13;;9;;1;;1;2;5;4;;1;6;;1;;;1;2;1;9;;1;;;2;2;2;27;;;91
apr-03-2016;1;10;;3;2;;1;1;4;10;6;1;;3;;1;1;3;2;2;3;5;;;;2;;1;2;15;;;79
apr-04-2016;;23;2;5;1;;;4;;7;9;;5;8;;2;;2;1;2;2;5;3;;;;2;1;1;8;;;93
apr-05-2016;;16;;6;;;;3;;4;5;;;14;;3;;;2;3;3;4;;1;2;;1;;;14;;;81
apr-06-2016;;18;;4;;;;3;;9;2;;2;16;;1;;3;2;1;2;3;;;;;1;1;1;13;;;82
apr-07-2016;1;15;1;7;;1;;2;;4;2;;2;8;;2;;4;1;2;1;5;;;;;1;;;11;;;70
apr-08-2016;;21;;3;1;1;;;1;9;8;;2;11;;4;;3;;5;;1;;;1;;3;2;1;17;;;94
apr-09-2016;;17;1;7;2;;5;2;1;8;2;;2;3;;5;;6;1;3;2;6;;;2;1;2;2;2;9;;;91
apr-10-2016;;14;;4;2;1;;5;2;11;5;;4;5;;5;;7;1;2;7;;2;1;;;;1;;6;;;85
apr-11-2016;;20;1;7;1;1;;2;;3;2;1;4;5;;;;2;;;2;5;;2;;;;4;1;11;;;74
apr-12-2016;;22;1;3;1;;1;3;2;5;4;;1;8;;2;;4;1;2;3;6;;;;;3;;2;9;;;83
apr-13-2016;;18;1;3;1;;;1;1;2;6;1;2;11;;1;;2;2;;6;4;1;;3;;6;;;14;;;86
apr-14-2016;1;22;;4;;;2;4;1;5;1;1;;13;;6;;3;1;1;;2;;;;;1;1;1;13;;;83
apr-15-2016;;26;1;4;1;;;1;1;6;2;;3;6;;3;;5;2;4;3;7;;;1;;6;1;1;10;;;94
apr-16-2016;;16;1;3;2;;;1;;9;3;;1;5;;2;;4;;5;3;5;1;;2;;1;;2;10;;;76
apr-17-2016;2;10;;4;2;;2;2;2;9;3;1;3;3;;1;;1;1;5;;2;;1;;2;4;;1;8;;;69
apr-18-2016;;21;;4;;;;3;;5;4;;3;8;;1;1;1;;1;4;1;;;;1;1;;;16;;;75
apr-19-2016;;19;;;2;;;2;3;2;3;;;9;;2;;5;1;;3;4;;;;;3;1;;15;;;74
apr-20-2016;1;24;1;7;;1;;2;1;6;6;3;2;9;;4;;1;1;1;1;6;;;1;;5;;;9;;;92
apr-21-2016;2;26;;6;2;;1;3;3;6;8;;;8;;1;;4;1;3;2;4;;;;;3;;;12;;;95
apr-22-2016;;15;;2;2;;;1;2;6;3;;1;7;;4;;3;2;;3;1;;1;2;;;1;1;15;;;72
apr-23-2016;;18;1;6;2;1;;1;2;6;4;;;4;;3;;4;2;3;;5;;;;1;2;;3;13;;;81
apr-24-2016;;12;1;4;1;;1;2;;5;3;2;2;3;;1;;2;1;;2;1;;;;1;2;;2;18;;;66
apr-25-2016;;24;1;1;1;;;;3;2;3;2;2;9;;;;1;;1;2;2;;1;;;4;1;1;15;;;76
apr-26-2016;;18;;5;;;;1;;7;2;;1;8;;2;;4;1;2;2;2;1;;2;1;3;1;;15;;;78
apr-27-2016;;25;;4;3;;1;2;;4;3;1;;12;;5;;2;1;4;1;1;;;;1;3;2;;17;;;92
apr-28-2016;;25;1;5;2;1;;2;;1;4;;;5;;;;3;;;4;1;;;;;2;4;1;11;;;72
apr-29-2016;;25;;3;;1;1;1;1;4;4;1;;10;;2;;1;3;;1;4;;2;;;6;2;;12;;;84
apr-30-2016;;21;1;6;1;;;4;3;12;2;;1;5;;8;;2;;3;2;2;;1;;1;1;;;20;;;96
aug-01-2016;;32;;3;1;;;;1;8;4;2;3;12;;3;;5;;2;2;3;1;1;2;;2;1;1;12;;;101
aug-02-2016;;17;;3;1;;;2;2;3;1;2;2;18;;5;;2;3;;2;2;1;;2;;5;4;2;9;;;88
aug-03-2016;;30;1;6;;;;;1;6;3;2;1;14;;4;;;1;5;2;4;;;;;9;1;;8;;;98
aug-04-2016;;21;1;5;1;;;5;2;6;4;;4;15;;8;;1;3;4;2;3;1;1;;;3;3;3;7;;;103
aug-05-2016;;35;;5;;1;;1;2;4;4;2;2;7;;3;1;3;;2;3;3;;1;1;;4;3;5;15;;;107
aug-06-2016;;20;;5;1;1;1;;3;9;5;1;1;6;;3;;6;2;2;5;2;;1;;;5;1;2;10;;;92
aug-07-2016;;13;;3;1;;;2;3;11;6;;4;4;;2;;2;;5;4;2;;1;;2;3;1;1;16;;;86
aug-08-2016;;28;1;2;3;;;;1;8;6;4;5;20;;7;;;1;;2;2;1;;2;1;3;2;3;10;;;112
aug-09-2016;;21;1;1;1;1;;1;1;7;2;;2;12;;4;;;2;3;1;3;1;;2;;1;2;1;11;;;81
aug-10-2016;;22;;2;4;;;2;1;4;3;;2;9;;8;;1;;1;4;;;;;;6;1;1;16;;;87
aug-11-2016;;24;;6;5;;;1;3;7;2;;3;10;;1;;2;;3;4;5;;2;2;;1;;1;15;;;97
aug-12-2016;;24;2;7;;;;2;1;7;3;1;4;10;;5;;1;;3;2;2;2;;;1;2;2;1;15;;;97
aug-13-2016;;16;2;2;5;;;2;3;7;8;;3;6;;3;1;3;1;3;3;6;;1;1;;1;1;3;18;;;99
aug-14-2016;;20;1;4;3;;1;1;1;19;6;;3;1;;4;;8;3;2;;3;;;;1;3;3;2;18;;2;109
aug-15-2016;;15;1;4;6;;1;2;3;10;2;;5;2;;3;1;3;;3;3;3;;;1;;5;4;;9;;1;87
aug-16-2016;;28;;5;1;;;2;2;9;2;2;3;10;;3;1;;;1;4;4;;;1;;7;1;2;14;;;102
aug-17-2016;;28;;4;;;;;1;2;5;1;2;8;;3;;1;;2;2;4;1;1;1;;1;1;;5;;;73
aug-18-2016;1;36;;3;;1;;3;1;8;6;1;2;12;;2;;2;;1;5;4;1;;1;1;4;;4;11;;;110
aug-19-2016;;26;;6;;;1;2;1;3;7;1;3;14;;5;;1;1;;2;2;;1;;1;8;1;4;9;;;99
aug-20-2016;1;21;;5;;;;;1;7;3;;3;5;;4;;3;3;1;4;6;2;1;;;4;5;1;11;;;91
aug-21-2016;;17;;3;1;;;;1;4;4;1;3;5;;2;;3;1;2;4;2;;1;1;;2;2;2;7;;;68
aug-22-2016;;25;;3;1;;;;2;5;4;1;3;11;;2;1;;3;1;1;4;2;;1;;2;1;;12;;;85
aug-23-2016;;15;;3;;;;3;2;4;3;;2;18;;4;;;;1;;2;1;2;1;;2;1;1;16;;;81
