Etiquetas de fila,AMAZONAS,ANTIOQUIA,ARAUCA,ATLÁNTICO,BOLÍVAR,BOYACÁ,CALDAS,CAQUETÁ,CASANARE,CAUCA,CESAR,CHOCÓ,CÓRDOBA,CUNDINAMARCA,GUAINÍA,GUAJIRA,GUAVIARE,HUILA,MAGDALENA,META,NARIÑO,NORTE DE SANTANDER,PUTUMAYO,QUINDÍO,RISARALDA,SAN ANDRÉS,SANTANDER,SUCRE,TOLIMA,VALLE,VAUPÉS,VICHADA,Total general
1-jan-2018,,12,,4,3,,,4,,11,2,1,6,4,,1,,3,4,3,4,1,1,,,,2,,1,16,,,83
1-feb-2018,,30,2,4,3,,,,,7,3,1,3,3,,4,,3,1,1,3,1,,,,1,5,1,1,15,,,92
1-mar-2018,,27,2,5,4,,,1,1,3,1,,1,13,,2,,1,2,,3,3,,,1,,4,1,3,8,,,86
1-apr-2018,1,19,2,,4,1,1,2,,5,4,1,1,13,,2,,5,5,5,6,2,1,1,1,,2,1,3,19,,,107
1-may-2018,,14,,1,2,,1,2,1,3,5,,3,6,,2,,3,1,2,2,4,1,1,,,6,,2,9,,,71
1-jun-2018,,26,,4,4,,1,,1,5,2,3,4,14,,2,,1,2,1,5,1,1,,,,1,1,1,16,,,96
1-jul-2018,,9,,4,2,1,,2,2,8,1,2,2,6,,2,,5,2,2,4,4,5,1,,,3,3,,6,,,76
1-aug-2018,,27,,3,3,,,1,1,7,,1,2,16,,1,,1,2,4,2,2,,,,,2,1,,13,,,89
1-sep-2018,,23,1,4,2,2,1,,,3,4,,,5,,,,3,1,3,4,2,,1,1,,5,,1,12,,,78
10-jan-2018,2,16,2,3,2,,,1,1,3,2,,4,10,,2,,3,1,3,2,4,,,,,5,2,1,13,,,82
10-feb-2018,,17,1,1,2,1,,,1,6,14,1,1,7,,2,,2,4,1,8,2,2,,1,,2,1,2,8,,,87
10-mar-2018,,21,,3,3,,,,,3,6,,5,9,,1,,3,3,3,2,3,,,1,,3,1,,7,,,77
10-apr-2018,,26,,4,3,1,,,,11,2,,4,24,,1,,1,1,5,5,4,2,,,,2,,2,19,,,117
10-may-2018,,26,2,4,1,1,,1,,4,3,2,3,19,,3,,1,1,1,5,,1,,1,,3,,5,9,,,96
10-jun-2018,,16,,1,6,1,2,,,7,3,2,5,8,,,,3,4,2,1,1,,,,,4,2,1,7,,,76
10-jul-2018,,24,1,3,4,,1,1,2,4,3,,2,18,,4,,2,1,4,,,1,1,,,1,1,1,7,,,86
10-aug-2018,,23,,3,,,,1,2,3,1,1,4,20,,2,,,1,4,3,1,1,1,,,3,,,9,,,83
10-sep-2018,,23,,2,3,,,,1,8,,3,1,10,,1,,4,1,2,3,1,1,,,,3,2,1,6,,,76
